,Rank,Zulu words,in English
0,1,njengoba,as
1,2,I,I
2,3,wakhe,his
3,4,ukuthi,that
4,5,yena,he
5,6,kwaba,was
6,7,ngoba,for
7,8,on,on
8,9,kukhona,are
9,10,nge,with
10,11,bona,they
11,12,kube,be
12,13,at,at
13,14,eyodwa,one
14,15,abe,have
15,16,le,this
16,17,kusuka,from
17,18,by,by
18,19,esishisayo,hot
19,20,igama,word
20,21,kodwana,but
21,22,lokho,what
22,23,Kwezinye,some
23,24,kuyinto,is
24,25,it,it
25,26,wena,you
26,27,noma,or
27,28,kwadingeka,had
28,29,lo,the
29,30,of,of
30,31,kuya,to
31,32,futhi,and
32,33,a,a
33,34,in,in
34,35,thina,we
35,36,okusemandleni,can
36,37,ukuphuma,out
37,38,ezinye,other
38,39,babengamadoda,were
39,40,okuyinto,which
40,41,enza,do
41,42,yabo,their
42,43,nesikhathi,time
43,44,uma,if
44,45,kuthanda,will
45,46,indlela,how
46,47,uthe,said
47,48,an,an
48,49,ngamunye,each
49,50,ukutshela,tell
50,51,enza,does
51,52,setha,set
52,53,amathathu,three
53,54,bafuna,want
54,55,air,air
55,56,kahle,well
56,57,futhi,also
57,58,udlale,play
58,59,amancane,small
59,60,Ukuphela,end
60,61,abeke,put
61,62,Ikhaya,home
62,63,funda,read
63,64,Isandla,hand
64,65,echwebeni,port
65,66,ende,large
66,67,luzosho,spell
67,68,ukwengeza,add
68,69,yebo,even
69,70,Izwe,land
70,71,lapha,here
71,72,kumele,must
72,73,enkulu,big
73,74,high,high
74,75,enjalo,such
75,76,ukulandela,follow
76,77,isenzo,act
77,78,kungani,why
78,79,cela,ask
79,80,amadoda,men
80,81,ushintsho,change
81,82,waya,went
82,83,Ukukhanya,light
83,84,uhlobo,kind
84,85,off,off
85,86,badinga,need
86,87,indlu,house
87,88,yendaba,picture
88,89,sizame,try
89,90,nathi,us
90,91,futhi,again
91,92,animal,animal
92,93,phuzu,point
93,94,umama,mother
94,95,umhlaba,world
95,96,tsini,near
96,97,ukwakha,build
97,98,wokuzilimaza,self
98,99,emhlabeni,earth
99,100,Ubaba,father
100,101,yisiphi,any
101,102,omusha,new
102,103,Umsebenzi,work
103,104,okuyingxenye,part
104,105,kuthathe,take
105,106,uthole,get
106,107,indawo,place
107,108,ezenziwe,made
108,109,siphile,live
109,110,lapho,where
110,111,emva,after
111,112,back,back
112,113,kancane,little
113,114,kodwa,only
114,115,nxazonke,round
115,116,man,man
116,117,ngonyaka,year
117,118,weza,came
118,119,bonisa,show
119,120,njalo,every
120,121,okuhle,good
121,122,me,me
122,123,pha,give
123,124,ethu,our
124,125,ngaphansi,under
125,126,Igama,name
126,127,kakhulu,very
127,128,ngokusebenzisa,through
128,129,nje,just
129,130,ifomu,form
130,131,uhlamvu,sentence
131,132,okukhulu,great
132,133,acabange,think
133,134,bathi,say
134,135,usize,help
135,136,ongaphakeme,low
136,137,line,line
137,138,ihluke,differ
138,139,baphendukela,turn
139,140,kwesizathu,cause
140,141,okuningi,much
141,142,asho,mean
142,143,ngaphambi,before
143,144,ukuthutha,move
144,145,kwesokudla,right
145,146,mfana,boy
146,147,endala,old
147,148,futhi,too
148,149,efanayo,same
149,150,yena,she
150,151,konke,all
151,152,khona,there
152,153,lapho,when
153,154,up,up
154,155,ukusetshenziswa,use
155,156,sakho,your
156,157,Indlela,way
157,158,mayelana,about
158,159,abaningi,many
159,160,ke,then
160,161,nabo,them
161,162,ukubhala,write
162,163,belungafica,would
163,164,like,like
164,165,kanjalo,so
165,166,la,these
166,167,wakhe,her
167,168,eside,long
168,169,ukwenza,make
169,170,Into,thing
170,171,bheka,see
171,172,naye,him
172,173,ezimbili,two
173,174,ine,has
174,175,bhekani,look
175,176,ngaphezulu,more
176,177,Usuku,day
177,178,okusemandleni,could
178,179,hamba,go
179,180,uze,come
180,181,wenza,did
181,182,Inombolo,number
182,183,kuzwakale,sound
183,184,akukho,no
184,185,iningi,most
185,186,Abantu,people
186,187,yami,my
187,188,phezu,over
188,189,bazi,know
189,190,kwamanzi,water
190,191,kunalokho,than
191,192,call,call
192,193,okokuqala,first
193,194,ngubani,who
194,195,may,may
195,196,phasi,down
196,197,side,side
197,198,kwaba,been
198,199,Manje,now
199,200,thola,find
200,201,Ikhanda,head
201,202,nime,stand
202,203,siqu,own
203,204,page,page
204,205,kufanele,should
205,206,izwe,country
206,207,wathola,found
207,208,Impendulo,answer
208,209,esikoleni,school
209,210,ukhule,grow
210,211,Ukutadisha,study
211,212,namanje,still
212,213,ufunde,learn
213,214,plant,plant
214,215,embesa,cover
215,216,ngokudla,food
216,217,sun,sun
217,218,ezine,four
218,219,emkhatsini,between
219,220,isimo,state
220,221,qhubeka,keep
221,222,iso,eye
222,223,bonaze,never
223,224,okokugcina,last
224,225,ake,let
225,226,bacabanga,thought
226,227,dolobha,city
227,228,isihlahla,tree
228,229,ukuwela,cross
229,230,ipulazi,farm
230,231,kanzima,hard
231,232,isiqalo,start
232,233,izikhwepha,might
233,234,Indaba,story
234,235,okwabonwa,saw
235,236,le,far
236,237,ulwandle,sea
237,238,udwebe,draw
238,239,kwesokunxele,left
239,240,sekwephuzile,late
240,241,sigijime,run
241,242,ungenzi,don’t
242,243,ngenkathi,while
243,244,cindezela,press
244,245,ngokuminyanisa,close
245,246,ebusuku,night
246,247,kwangempela,real
247,248,kuphila,life
248,249,ambalwa,few
249,250,enyakatho,north
250,251,Incwadi,book
251,252,athwale,carry
252,253,wathatha,took
253,254,isayensi,science
254,255,udle,eat
255,256,Igumbi,room
256,257,umngani,friend
257,258,waqala,began
258,259,umqondo,idea
259,260,izinhlanzi,fish
260,261,ntaba,mountain
261,262,ima,stop
262,263,kanye,once
263,264,isiza,base
264,265,zwa,hear
265,266,ihhashi,horse
266,267,ukusika,cut
267,268,isiqiniseko,sure
268,269,qaphela,watch
269,270,Umbala,color
270,271,Ubuso,face
271,272,izinkuni,wood
272,273,eziyinhloko,main
273,274,evulekile,open
274,275,babonakala,seem
275,276,ndawonye,together
276,277,olandelayo,next
277,278,elimhlophe,white
278,279,izingane,children
279,280,uqale,begin
280,281,wavuka,got
281,282,uhambe,walk
282,283,Isibonelo,example
283,284,ekudambiseni,ease
284,285,ephepheni,paper
285,286,iqoqo,group
286,287,njalo,always
287,288,umculo,music
288,289,nalabo,those
289,290,kokubili,both
290,291,uphawu,mark
291,292,ngokuvamile,often
292,293,incwadi,letter
293,294,kuze,until
294,295,lwamakhilomitha,mile
295,296,emfuleni,river
296,297,Imoto,car
297,298,izinyawo,feet
298,299,ukunakekelwa,care
299,300,kwesibili,second
300,301,ngokwanele,enough
301,302,ithafa,plain
302,303,ntombazane,girl
303,304,evamile,usual
304,305,young,young
305,306,ngomumo,ready
306,307,ngenhla,above
307,308,njalo,ever
308,309,obomvu,red
309,310,Uhlu,list
310,311,noma,though
311,312,bazizwa,feel
312,313,inkulumo,talk
313,314,nyoni,bird
314,315,Ngokushesha,soon
315,316,Umzimba,body
316,317,inja,dog
317,318,umndeni,family
318,319,ngqo,direct
319,320,abalona,pose
320,321,ushiye,leave
321,322,song,song
322,323,ukulinganisa,measure
323,324,Umnyango,door
324,325,umkhiqizo,product
325,326,omnyama,black
326,327,okufutshane,short
327,328,inani,numeral
328,329,ikilasi,class
329,330,ovunguzayo,wind
330,331,Umbuzo,question
331,332,kwenzeke,happen
332,333,kuqedile,complete
333,334,Umkhumbi,ship
334,335,indawo,area
335,336,isigamu,half
336,337,idwala,rock
337,338,oda,order
338,339,umlilo,fire
339,340,eningizimu,south
340,341,Inkinga,problem
341,342,ucezu,piece
342,343,utshele,told
343,344,wayazi,knew
344,345,Kudlula,pass
345,346,kusukela,since
346,347,phezulu,top
347,348,wonke,whole
348,349,inkosi,king
349,350,isitaladi,street
350,351,ngamasentimitha,inch
351,352,phindaphinda,multiply
352,353,lutho,nothing
353,354,inkambo,course
354,355,uhlale,stay
355,356,sondo,wheel
356,357,egcwele,full
357,358,isicindezelo,force
358,359,eluhlaza,blue
359,360,intfo,object
360,361,unqume,decide
361,362,ngaphandle,surface
362,363,ezijulile,deep
363,364,inyanga,moon
364,365,esiqhingini,island
365,366,ngezinyawo,foot
366,367,uhlelo,system
367,368,umatasa,busy
368,369,ukulinga,test
369,370,amarekhodi,record
370,371,Isikebhe,boat
371,372,ezivamile,common
372,373,igolide,gold
373,374,kunokwenzeka,possible
374,375,indiza,plane
375,376,esikhundleni,stead
376,377,eyomile,dry
377,378,bayazibuza,wonder
378,379,uhleko,laugh
379,380,abayizinkulungwane,thousand
380,381,edlule,ago
381,382,wagijimela,ran
382,383,hlola,check
383,384,mdlalo,game
384,385,uhlobo,shape
385,386,bathi,equate
386,387,ashisayo,hot
387,388,miss,miss
388,389,baletha,brought
389,390,ukushisa,heat
390,391,iqhwa,snow
391,392,isondo,tire
392,393,ukuletha,bring
393,394,Yebo,yes
394,395,ezikude,distant
395,396,ukugcwalisa,fill
396,397,empumalanga,east
397,398,ukupenda,paint
398,399,lulwimi,language
399,400,phakathi,among
400,401,unit,unit
401,402,Amandla,power
402,403,town,town
403,404,emihle,fine
404,405,ezithile,certain
405,406,ijeka manzi,fly
406,407,awe,fall
407,408,kuholele,lead
408,409,khala,cry
409,410,amnyama,dark
410,411,umshini,machine
411,412,inothi,note
412,413,ulinde,wait
413,414,hlela,plan
414,415,ukulinganisa,figure
415,416,ikhwezi,star
416,417,ibhokisi,box
417,418,ibizo,noun
418,419,ifusi,field
419,420,ukuphumula,rest
420,421,lobenele,correct
421,422,ekwazi,able
422,423,Ipondo,pound
423,424,wenziwe,done
424,425,ubuhle,beauty
425,426,qhuba,drive
426,427,wema,stood
427,428,aqukethe,contain
428,429,phambili,front
429,430,sifundise,teach
430,431,ngesonto,week
431,432,sokugcina,final
432,433,wanikela,gave
433,434,oluhlaza,green
434,435,Awu,oh
435,436,okusheshayo,quick
436,437,ukuthuthukisa,develop
437,438,ulwandle olukhulu,ocean
438,439,afudumele,warm
439,440,khulula,free
440,441,ngeminithi,minute
441,442,oqinile,strong
442,443,ekhethekile,special
443,444,kwengqondo,mind
444,445,ngemuva,behind
445,446,ecacile,clear
446,447,umsila,tail
447,448,khiqiza,produce
448,449,Empeleni,fact
449,450,isikhala,space
450,451,wezwa,heard
451,452,umhlabeleli,best
452,453,ngehora,hour
453,454,kangcono,better
454,455,kuyiqiniso,TRUE
455,456,ngesikhatsi,during
456,457,angamakhulu,hundred
457,458,ezinhlanu,five
458,459,ukhumbule,remember
459,460,Isinyathelo,step
460,461,zakuqala,early
461,462,ubambe,hold
462,463,ngasentshonalanga,west
463,464,emhlabathini,ground
464,465,Isithakazelo,interest
465,466,afinyelele,reach
466,467,bambelela,fast
467,468,sento,verb
468,469,sihlabelele,sing
469,470,ulalele,listen
470,471,eziyisithupha,six
471,472,ithebula,table
472,473,hamba amazwe,travel
473,474,esingaphansi,less
474,475,Ekuseni,morning
475,476,eziyishumi,ten
476,477,elula,simple
477,478,eziningana,several
478,479,unkamisa,vowel
479,480,bubheke,toward
480,481,ukulwa,war
481,482,walala,lay
482,483,ngokumelene,against
483,484,iphethini,pattern
484,485,wephuza,slow
485,486,isikhungo,center
486,487,athande,love
487,488,Umuntu,person
488,489,imali,money
489,490,ukukhonza,serve
490,491,avele,appear
491,492,umgwaqo,road
492,493,ibalazwe,map
493,494,nemvula,rain
494,495,ukubusa,rule
495,496,phatha,govern
496,497,donsa,pull
497,498,ezibandayo,cold
498,499,Isaziso,notice
499,500,ngezwi,voice
500,501,amandla,energy
501,502,ukuhlasela,hunt
502,503,kungenzeka,probable
503,504,embhedeni,bed
504,505,umfowabo,brother
505,506,iqanda,egg
506,507,gibela,ride
507,508,iseli,cell
508,509,bakholwe,believe
509,510,mhlawumbe,perhaps
510,511,vuna,pick
511,512,engazelelwe,sudden
512,513,ukubala,count
513,514,igceke,square
514,515,Isizathu,reason
515,516,Ubude,length
516,517,bamele,represent
517,518,yobuciko,art
518,519,isihloko,subject
519,520,isifunda,region
520,521,Usayizi,size
521,522,ziyehluka,vary
522,523,hlela,settle
523,524,ukhulume,speak
524,525,isisindo,weight
525,526,jikelele,general
526,527,iqhwa,ice
527,528,udaba,matter
528,529,jikeleza,circle
529,530,okubili,pair
530,531,zihlanganisa,include
531,532,ahlukanisa,divide
532,533,uhlamvu,syllable
533,534,wazizwa,felt
534,535,omkhulu,grand
535,536,ngebhola,ball
536,537,nokho,yet
537,538,qhweba,wave
538,539,yokwehlisela,drop
539,540,Inhliziyo,heart
540,541,ngiyindlela,am
541,542,okwamanje,present
542,543,esindayo,heavy
543,544,dance,dance
544,545,injini,engine
545,546,isikhundla,position
546,547,ingalo,arm
547,548,ububanzi,wide
548,549,useyili,sail
549,550,material,material
550,551,ingxenyenamba,fraction
551,552,ihlathi,forest
552,553,ahlale,sit
553,554,uhlanga,race
554,555,iwindi,window
555,556,esitolo,store
556,557,ehlobo,summer
557,558,isitimela,train
558,559,sokulala,sleep
559,560,afakazele,prove
560,561,oyedwa waba,lone
561,562,emlenzeni,leg
562,563,umsebenzi,exercise
563,564,Udonga,wall
564,565,bamba,catch
565,566,khweza,mount
566,567,ufisa,wish
567,568,isibhakabhaka,sky
568,569,ebhodini,board
569,570,injabulo,joy
570,571,ubusika,winter
571,572,Wahlala,sat
572,573,ebhaliwe,written
573,574,sasendle,wild
574,575,instrument,instrument
575,576,igcinwe,kept
576,577,ingilazi,glass
577,578,utshani,grass
578,579,eyensikazi,cow
579,580,Umsebenzi,job
580,581,emaphethelweni,edge
581,582,isibonakaliso,sign
582,583,ukuvakasha,visit
583,584,esidlule,past
584,585,esithambile,soft
585,586,kumnandi,fun
586,587,egqamile,bright
587,588,negesi,gas
588,589,sezulu,weather
589,590,ngenyanga,month
590,591,isigidi,million
591,592,athwale,bear
592,593,sekugcineni,finish
593,594,ojabulayo,happy
594,595,Ngethemba,hope
595,596,mbali,flower
596,597,wembathise,clothe
597,598,ongaziwa,strange
598,599,esehambile,gone
599,600,ezohwebo,trade
600,601,Ihubo,melody
601,602,uhambo,trip
602,603,Ihhovisi,office
603,604,thola,receive
604,605,irowu,row
605,606,Umlomo,mouth
606,607,oluqondile,exact
607,608,uphawu,symbol
608,609,fa,die
609,610,okungenani,least
610,611,enkingeni,trouble
611,612,memeza,shout
612,613,kuphela,except
613,614,wabhala,wrote
614,615,inzalo,seed
615,616,umbala,tone
616,617,ukujoyina,join
617,618,basikisela,suggest
618,619,zihlanzekile,clean
619,620,ukwephuka,break
620,621,inenekazi,lady
621,622,egcekeni,yard
622,623,sukuma,rise
623,624,okubi,bad
624,625,igalelo,blow
625,626,uwoyela,oil
626,627,negazi,blood
627,628,uthinte,touch
628,629,lakhula,grew
629,630,angu,cent
630,631,xuba,mix
631,632,ithimba,team
632,633,ucingo,wire
633,634,Izindleko,cost
634,635,walahlekelwa,lost
635,636,onsundu,brown
636,637,bagqoke,wear
637,638,yensimu,garden
638,639,alinganayo,equal
639,640,wathumela,sent
640,641,akhethe,choose
641,642,bawa,fell
642,643,linganisa,fit
643,644,kopoza,flow
644,645,ukujabulisa,fair
645,646,ebhange,bank
646,647,ukuqoqa,collect
647,648,ukusindisa,save
648,649,amandla okuphatha,control
649,650,zamadesimali,decimal
650,651,indlebe,ear
651,652,futhi,else
652,653,ngempela,quite
653,654,waphula,broke
654,655,Icala,case
655,656,maphakathi,middle
656,657,babulale,kill
657,658,indodana,son
658,659,ichweba,lake
659,660,mzuzu,moment
660,661,isikali,scale
661,662,elikhulu,loud
662,663,entwasahlobo,spring
663,664,bona,observe
664,665,Ingane,child
665,666,iqonde,straight
666,667,lehamba,consonant
667,668,Isizwe,nation
668,669,isichazamazwi,dictionary
669,670,ubisi,milk
670,671,isivinini,speed
671,672,indlela,method
672,673,sitho,organ
673,674,ukhokhe,pay
674,675,yobudala,age
675,676,ingxenye,section
676,677,ingubo,dress
677,678,ifu,cloud
678,679,Ngamangala,surprise
679,680,onokuthula,quiet
680,681,tshe,stone
681,682,omncanyana,tiny
682,683,enyuka,climb
683,684,abandayo,cool
684,685,songoza,design
685,686,abampofu,poor
686,687,uquqaba,lot
687,688,lokulinga,experiment
688,689,ngezansi,bottom
689,690,isikhiye,key
690,691,nensimbi,iron
691,692,ongashadile,single
692,693,uthi,stick
693,694,ifulathi,flat
694,695,amabili,twenty
695,696,isikhumba,skin
696,697,emomotheka,smile
697,698,dile,crease
698,699,emgodini,hole
699,700,eqa,jump
700,701,umntwana,baby
701,702,eziyisishiyagalombili,eight
702,703,emzaneni,village
703,704,hlangana,meet
704,705,impande,root
705,706,thenga,buy
706,707,iphakamisa,raise
707,708,ukuxazulula,solve
708,709,sensimbi,metal
709,710,noma,whether
710,711,phusha,push
711,712,eziyisikhombisa,seven
712,713,indzima,paragraph
713,714,okwesithathu,third
714,715,kufanele,shall
715,716,owawuzoba,held
716,717,izinwele,hair
717,718,uchaze,describe
718,719,umpheki,cook
719,720,phansi,floor
720,721,noma,either
721,722,japan,result
722,723,bashise,burn
723,724,igquma,hill
724,725,ephephile,safe
725,726,likati,cat
726,727,leminyaka,century
727,728,cabangela,consider
728,729,Uhlobo,type
729,730,umthetho,law
730,731,ihhashi,bit
731,732,ugu,coast
732,733,Ikhophi,copy
733,734,isisho,phrase
734,735,buthule,silent
735,736,abade,tall
736,737,isihlabathi,sand
737,738,Inhlabathi,soil
738,739,qoqa,roll
739,740,lokushisa,temperature
740,741,ngomunwe,finger
741,742,Imboni,industry
742,743,azisa,value
743,744,impi,fight
744,745,manga,lie
745,746,bhula,beat
746,747,ethusa,excite
747,748,natural,natural
748,749,buka,view
749,750,ngomqondo,sense
750,751,komkhulu,capital
751,752,ngeke,won’t
752,753,isitulo,chair
753,754,ingozi,danger
754,755,izithelo,fruit
755,756,ocebile,rich
756,757,aminyene,thick
757,758,sosha,soldier
758,759,inqubo,process
759,760,sebenzisa,operate
760,761,Umkhuba,practice
761,762,ahlukene,separate
762,763,nzima,difficult
763,764,Udokotela,doctor
764,765,sicela,please
765,766,ukuvikela,protect
766,767,emini,noon
767,768,isitshalo,crop
768,769,yesimanje,modern
769,770,isici,element
770,771,shaya,hit
771,772,ofundayo,student
772,773,ekhoneni,corner
773,774,inhlangano,party
774,775,phakela,supply
775,776,ogama,whose
776,777,thola,locate
777,778,nkeneza,ring
778,779,uhlamvu,character
779,780,kwezinambuzane,insect
780,781,babanjwa,caught
781,782,isikhathi,period
782,783,khombisa,indicate
783,784,umsakazo,radio
784,785,wakhuluma,spoke
785,786,athomu,atom
786,787,womuntu,human
787,788,Umlando,history
788,789,umphumela,effect
789,790,electric,electric
790,791,bheka,expect
791,792,amathambo,bone
792,793,ujantshi,rail
793,794,imagine,imagine
794,795,ukuhlinzeka,provide
795,796,uvume,agree
796,797,Kanjalo,thus
797,798,mnene,gentle
798,799,owesifazane,woman
799,800,ukaputeni,captain
800,801,ukuqagela,guess
801,802,kunesidingo,necessary
802,803,ebukhali,sharp
803,804,iphiko,wing
804,805,ukudala,create
805,806,umakhelwane,neighbor
806,807,ukuhlamba,wash
807,808,nelulwane,bat
808,809,kunalokho,rather
809,810,Isixuku,crowd
810,811,ukolweni,corn
811,812,qhathanisa,compare
812,813,inkondlo,poem
813,814,intambo,string
814,815,insimbi,bell
815,816,bathembele,depend
816,817,Inyama,meat
817,818,deda,rub
818,819,umbhobho,tube
819,820,esidumile,famous
820,921,izindodla zemali,dollar
821,822,emfudlaneni,stream
822,823,kwesaba,fear
823,284,ukubuka,sight
824,825,mncane,thin
825,826,calantsatfu,triangle
826,827,iplanethi,planet
827,828,shesha,hurry
828,829,abakhulu,chief
829,830,koloni,colony
830,831,washi,clock
831,832,emayini,mine
832,833,ukulingana,tie
833,834,faka,enter
834,835,ezinkulu,major
835,836,opholile,fresh
836,837,cinga,search
837,838,thumela,send
838,839,ophuzi,yellow
839,840,isibhamu,gun
840,841,uvumele,allow
841,842,ukubhala,print
842,843,efile,dead
843,844,indawo,spot
844,845,hlamuka,desert
845,846,izembatho,suit
846,847,yamanje,current
847,848,baphakamisa,lift
848,840,wasukuma,rose
849,850,finyelela,arrive
850,851,induna,master
851,852,ithrekhi,track
852,853,umzali,parent
853,854,isisekelo,shore
854,855,ukuhlukana,division
855,856,ishidi,sheet
856,857,isiqa,substance
857,858,siza,favor
858,859,xhuma,connect
859,860,post,post
860,861,khipha,spend
861,862,kuzithinta,chord
862,863,inoni,fat
863,864,ithokoze,glad
864,865,sokuqala,original
865,866,ingxenye,share
866,867,esiteshini,station
867,868,ubaba,dad
868,869,isinkwa,bread
869,870,gcwalisa,charge
870,871,efanele,proper
871,872,ibha,bar
872,873,umnikelo,offer
873,874,ingxenye,segment
874,875,nceku,slave
875,876,idada,duck
876,877,osheshayo,instant
877,878,indali,market
878,879,ibanga,degree
879,880,populate,populate
880,881,iphuphu,chick
881,882,othandekayo,dear
882,883,isitha,enemy
883,884,phendula,reply
884,885,isiphuzo,drink
885,886,zenzeka,occur
886,887,ukwesekwa,support
887,888,Inkulumo,speech
888,889,isidalo,nature
889,890,uhla,range
890,891,umusi,steam
891,892,ukunyakaza,motion
892,893,indlela,path
893,894,uketshezi,liquid
894,895,ugongolo,log
895,896,wayesho,meant
896,897,sekwa,quotient
897,898,amazinyo,teeth
898,899,igobolondo le,shell
899,900,intamo,neck
900,901,oksijini,oxygen
901,902,ushukela,sugar
902,903,Ukufa,death
903,904,muhle,pretty
904,905,ikhono,skill
905,906,abesifazane,women
906,907,isizini,season
907,908,isixazululo,solution
908,909,uzibuthe,magnet
909,910,zesiliva,silver
910,911,ngiyabonga,thank
911,912,Igatsha,branch
912,913,nomdlalo,match
913,914,Isijobelelo,suffix
914,915,ikakhulukazi,especially
915,916,komkhiwane,fig
916,917,ngesaba,afraid
917,918,omkhulu,huge
918,919,udadewabo,sister
919,920,zensimbi,steel
920,921,uxoxe,discuss
921,922,phambili,forward
922,923,efanayo,similar
923,924,umholi,guide
924,925,isipiliyoni,experience
925,926,isikolo,score
926,927,apula,apple
927,928,uthenge,bought
928,929,wahola,led
929,930,iphimbo,pitch
930,931,isikhumba,coat
931,932,isonto,mass
932,933,ikhadi,card
933,934,ibhande,band
934,935,ngentambo,rope
935,936,ukushelela,slip
936,937,ukuphumelela,win
937,938,baphuphe,dream
938,939,ukuhlwa,evening
939,940,isimo,condition
940,941,funga,feed
941,942,Ithuluzi,tool
942,943,inani,total
943,944,eziyisisekelo,basic
944,945,iphunga,smell
945,946,isigodi,valley
946,947,noma,nor
947,948,kabili,double
948,949,esihlalweni,seat
949,950,uqhubeke,continue
950,951,isixa,block
951,952,ishadi,chart
952,953,imbenge,hat
953,954,adayise,sell
954,955,Impumelelo,success
955,956,yenkampani,company
956,957,khipha,subtract
957,958,umcimbi,event
958,959,ethile,particular
959,960,intengo,deal
960,961,bhukuda,swim
961,962,ithemu,term
962,963,obuhlukile,opposite
963,964,umkakho,wife
964,965,izicathulo,shoe
965,966,ehlombe,shoulder
966,967,ukusabalala,spread
967,968,ukuhlela,arrange
968,969,ikamu,camp
969,970,usungula,invent
970,971,ukotini,cotton
971,972,Uzalelwa,born
972,973,linqume,determine
973,974,ayilitha,quart
974,975,eyisishiyagalolunye,nine
975,976,iloli,truck
976,977,ngomsindo,noise
977,978,Izinga,level
978,979,chance,chance
979,980,hlangana,gather
980,981,esitolo,shop
981,982,elula,stretch
982,983,aphonse,throw
983,984,inkazimulo,shine
984,985,impahla,property
985,986,ikholomu,column
986,987,ingqamuzana,molecule
987,988,ukhethe,select
988,989,okungalungile,wrong
989,990,ezimpunga,gray
990,991,uphinda,repeat
991,992,adinga,require
992,993,ebanzi,broad
993,994,ukulungiselela,prepare
994,995,usawoti,salt
995,996,impumulo,nose
996,997,ubuningi,plural
997,998,intukuthelo,anger
998,999,Faka isicelo,claim
999,1000,izwekazi,continent
